,0,1,2,3,4,5,6,7,8,9
235_rural,5.83845,-2.3929949,-0.2493302,0.93991745,7.0955434,-2.047459,-1.1538619,-4.93448,-3.899012,-1.5306984
235_town,0.5102557,0.70023334,-0.18310282,-1.2648323,2.5798206,-0.18589023,-1.0481285,-0.77530247,-0.4519643,-0.9945676
23_city,0.14488369,0.8668296,0.8619132,-1.5927466,0.06905793,-0.03574331,-0.12666763,-0.15852387,-1.4594747,1.7091615
23_rural,-0.15528323,2.8558943,0.23238365,-1.4073563,1.647385,1.1847893,1.6956487,-0.9927103,-2.165697,0.12222093
23_town,-0.38343626,3.0413496,-0.63775676,-1.9436975,0.09197788,0.49720472,0.66706413,-0.5102156,-0.17405787,1.3322161
253_city,2.1829107,-0.9430504,0.1271494,-2.4125242,-1.6175073,-1.7257959,-2.6966584,-0.44056728,-1.9552572,1.1533569
253_rural,2.2461817,-1.6118234,-0.6241746,-1.77945,1.6496922,-0.6103249,-2.4044027,-0.013867694,-2.9637952,-0.44813356
253_town,-0.22654304,1.1987813,-0.28404215,-1.2408311,1.1215556,-0.6626678,-1.7233722,-0.8626604,-0.9770501,0.7997247
254_city,2.4249067,-0.98168087,0.60691583,-1.2768993,0.0059439195,-0.9689564,-1.4766344,-0.8388094,-1.9724153,0.7098723
254_rural,4.9242773,-0.37365618,-0.09966451,-0.72477335,4.963913,-0.983089,-1.0951879,-4.2060313,-3.606488,-0.26811385
254_town,3.0909317,-0.56981874,-0.86902833,-1.4377128,0.717761,-1.3595917,-3.3786676,-0.8529173,-2.06317,0.06707204
255_city,2.4752004,-1.6763505,0.4116555,-1.8208525,-0.7252141,-1.7990472,-2.886759,0.15251908,-2.1573648,1.3841153
255_rural,0.9475834,0.034982994,0.15187979,-0.15917546,2.467152,0.30464265,0.42009202,-0.88641566,-1.7881529,-0.92714334
255_town,4.6893053,-1.0356845,-0.9565029,-0.5611474,3.641955,-2.1817586,-2.8858664,-3.3689451,-3.0241644,0.11869792
256_city,-1.6515081,-0.21336618,0.42334947,-2.2745569,-6.173,-0.24778484,-1.745533,4.9431267,0.1824723,0.95290947
256_rural,-0.11583137,2.7021341,0.5088452,-0.4130504,1.2992364,1.1495525,1.6272446,-1.2035463,-1.1839211,-0.73413193
